interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
0.00,500.00,d2,0,,0,0,-135335116,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135335117#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135335117#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135337161,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135337749,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135337750,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135337751,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135337753,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135349589,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135349594#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135349594#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135349705#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135349705#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135566281,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135566283,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135566284,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135566285,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135566286,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135566287,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135566289,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135566290,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135566291,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135566292,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135566293,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135566294,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135577365,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135577372,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135778344#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135778344#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135778344#2,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135778344#3,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135778344#4,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135778361#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135778361#1,0,0,0,,,0.00,,,
